user,topic_id,id,createdAt,attempt,response,userMessage
demo-test-53,1001,19613,2025-05-14 14:55:19.000,1,"Hello, demo-test-53! ? It's great to see you again! Let's have some fun learning English today! \n\nBefore we start, remember how well you did last time with your vocabulary. Keep it up! \n\nNow, what topic would you like to discuss today? ?✨",NULL
demo-test-53,1001,19614,2025-05-14 15:02:44.000,2,"It looks like you sent a letter ""p."" No problem! ? \n\nCan you tell me what you like to do in your free time? ??",p
demo-test-53,1001,19615,2025-05-14 15:05:49.000,3,Hello! ? How are you today? \n\nWhat fun things did you do recently? ?,halo bro
demo-test-53,1001,19616,2025-05-14 15:06:04.000,4,"I think you meant ""good""! That's great to hear! ? \n\nWhat makes you feel good today? ?",g aaad
demo-test-53,1024,19617,2025-05-14 15:06:48.000,5,Got it! ? Let’s chat about your hobbies! What is your hobby lately? Do you have any new interests? Your answer will help me improve our chats! ?,sss
demo-test-1,1001,19619,2025-05-14 15:09:40.000,1,Hello! How are you today? ?,NULL
demo-test-1,1001,19620,2025-05-14 15:10:12.000,2,It seems you didn't write anything. That's okay! What did you do today?,NULL
demo-test-8,1001,19621,2025-05-14 15:12:34.000,1,Hello! How are you today? ?,NULL
demo-test-10,1001,19622,2025-05-14 15:12:39.000,1,Hello! How are you today? ?,NULL
demo-test-16,1001,19623,2025-05-14 15:13:04.000,1,Hello! How are you today? ?,NULL
demo-test-20,1001,19624,2025-05-14 15:13:15.000,1,Hello! How are you today? ?,NULL
demo-test-17,1001,19625,2025-05-14 15:13:19.000,1,Hello! How are you today? ?,NULL
demo-test-4,1001,19626,2025-05-14 15:13:50.000,1,Hello! How are you today? ?,NULL
demo-test-6,1001,19627,2025-05-14 15:14:05.000,1,Hello! How are you today? ?,NULL
demo-test-34,1001,19628,2025-05-14 15:14:10.000,1,Hello! How are you today? ?,NULL
demo-test-35,1001,19629,2025-05-14 15:14:25.000,1,Hello! How are you today? ?,NULL
demo-test-40,1001,19631,2025-05-14 15:14:30.000,1,Hello! How are you today? ?,NULL
demo-test-42,1001,19630,2025-05-14 15:14:30.000,1,Hello! How are you today? ?,NULL
demo-test-44,1001,19632,2025-05-14 15:14:35.000,1,Hello! How are you today? ?,NULL
demo-test-7,1001,19633,2025-05-14 15:14:40.000,1,Hello! How are you today? ?,NULL
demo-test-1,1001,19635,2025-05-14 15:14:45.000,2,I see you are quiet! That's okay. Would you like to talk about your favorite food? ?,NULL
demo-test-48,1001,19634,2025-05-14 15:14:45.000,1,Hello! How are you today? ?,NULL
demo-test-50,1001,19638,2025-05-14 15:14:50.000,1,Hello! How are you today? ?,NULL
demo-test-51,1001,19636,2025-05-14 15:14:50.000,1,Hello! How are you today? ?,NULL
demo-test-58,1001,19637,2025-05-14 15:14:50.000,1,Hello! How are you today? ?,NULL
demo-test-52,1001,19639,2025-05-14 15:14:55.000,1,Hello! How are you today? ?,NULL
demo-test-55,1001,19640,2025-05-14 15:14:55.000,1,Hello! How are you today? ?,NULL
demo-test-56,1001,19641,2025-05-14 15:14:55.000,1,Hello! How are you today? ?,NULL
